,title,original_title,overview,overview_word_count,release_date,release_year,original_language,genres,vote_average,vote_count,popularity
2440,Last Christmas,Last Christmas,"Kate is a young woman who has a habit of making bad decisions, and her last date with disaster occurs after she accepts work as Santa's elf for a department store. However, after she meets Tom there, her life takes a new turn.",43,2019-11-07,2019,English,"['Comedy', 'Romance']",7.219,2491,4.5155
2441,Shin Godzilla,シン・ゴジラ,"When a massive, gilled monster emerges from the deep and tears through the city, the government scrambles to save its citizens. A rag-tag team of volunteers cuts through a web of red tape to uncover the monster's weakness and its mysterious ties to a foreign superpower. But time is not on their side - the greatest catastrophe to ever befall the world is about to evolve right before their very eyes.",71,2016-07-29,2016,Japanese,"['Action', 'Science Fiction', 'Horror']",7.2,1465,6.9924
2442,Venus In Fur,La Vénus à la fourrure,An enigmatic actress may have a hidden agenda when she auditions for a part in a misogynistic writer's play.,19,2013-05-28,2013,French,['Drama'],7.219,727,2.9987
2443,The Hunger Games,The Hunger Games,"In a dystopian society where the Capitol forces each district to send two young tributes to fight to the death in a televised spectacle, a girl volunteers to take her sister’s place, setting the stage for a struggle of survival and defiance.",42,2012-03-12,2012,English,"['Science Fiction', 'Adventure', 'Action', 'Thriller']",7.219,22744,5.2394
2444,The Aviator,The Aviator,"A biopic depicting the life of filmmaker and aviation pioneer Howard Hughes from 1927 to 1947, during which time he became a successful film producer and an aviation magnate, while simultaneously growing more unstable due to severe obsessive-compulsive disorder.",39,2004-12-17,2004,English,['Drama'],7.219,5597,4.0054
2445,Crazy About Her,Loco por ella,"After a magical night together, Adri voluntarily turns himself into the psychiatric institution where Carla lives.",16,2021-02-26,2021,Spanish,"['Comedy', 'Romance']",7.218,472,2.3739
2446,Official Secrets,Official Secrets,The true story of British intelligence whistleblower Katharine Gun who—prior to the 2003 Iraq invasion—leaked a top-secret NSA memo exposing a joint US-UK illegal spying operation against members of the UN Security Council. The memo proposed blackmailing member states into voting for war.,43,2019-08-30,2019,English,"['Thriller', 'History', 'Drama']",7.218,1050,3.2538
2447,I Am Dragon,Он - дракон,"In the midst of the wedding princess Miroslava is kidnapped by a dragon and carried away into his castle on the remote island. Mira left everything behind in the past - family, friends and groom. Now the only things she had were a stone cage and a mysterious young man named Arman ... but who is he and what is he doing on that island? Miroslava will know the truth too late: loving a dragon will reveal the bitter truth - love is scary.",84,2015-12-03,2015,Russian,"['Fantasy', 'Romance']",7.218,396,5.093
2448,Collateral Beauty,Collateral Beauty,"Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.",40,2016-12-15,2016,English,"['Drama', 'Romance']",7.218,5478,2.497
2449,Coherence,Coherence,Four couples gather for dinner the night a mysterious and powerful comet passes overhead.,14,2013-09-19,2013,English,"['Thriller', 'Science Fiction']",7.218,3193,4.4953
2450,The Town,The Town,"Doug MacRay is a longtime thief, who, smarter than the rest of his crew, is looking for his chance to exit the game. When a bank job leads to the group kidnapping an attractive branch manager, he takes on the role of monitoring her – but their burgeoning relationship threatens to unveil the identities of Doug and his crew to the FBI Agent who is on their case.",68,2010-09-15,2010,English,"['Crime', 'Drama', 'Thriller']",7.218,5352,10.3726
2451,A League Of Their Own,A League of Their Own,"As America's stock of athletic young men is depleted during World War II, a professional all-female baseball league springs up in the Midwest, funded by publicity-hungry candy maker Walter Harvey. Competitive sisters Dottie Hinson and Kit Keller spar with each other, scout Ernie Capadino and grumpy has-been coach Jimmy Dugan on their way to fame.",55,1992-07-01,1992,English,"['Comedy', 'Drama']",7.2,1472,4.594
2452,Dr. Jekyll And Mr. Hyde,Dr. Jekyll and Mr. Hyde,"Dr. Henry Jekyll believes that there are two distinct sides to men - a good and an evil side. He believes that by separating the two, man can become liberated. He succeeds in his experiments with chemicals to accomplish this and transforms into Hyde to commit horrendous crimes. When he discontinues use of the drug, it is already too late.",60,1931-12-24,1931,English,"['Horror', 'Science Fiction', 'Drama']",7.2,316,2.0193
2453,Open Range,Open Range,A former gunslinger is forced to take up arms again when he and his cattle crew are threatened by a corrupt lawman.,22,2003-08-11,2003,English,"['Western', 'Drama', 'Action', 'Romance']",7.218,1150,2.4574
2454,Mission: Impossible - Rogue Nation,Mission: Impossible - Rogue Nation,"Ethan and team take on their most impossible mission yet—eradicating 'The Syndicate', an International and highly-skilled rogue organization committed to destroying the IMF.",23,2015-07-28,2015,English,"['Action', 'Adventure']",7.217,9369,6.9968
2455,Wadjda,Das Mädchen Wadjda,An enterprising Saudi girl signs on for her school's Quran recitation competition as a way to raise the remaining funds she needs in order to buy the green bicycle that has captured her interest.,34,2012-08-31,2012,Arabic,['Drama'],7.217,501,1.239
2456,Detour,Detour,"The life of Al Roberts, a pianist in a New York nightclub, turns into a nightmare when he decides to hitchhike to Los Angeles to visit his girlfriend.",28,1945-11-30,1945,English,"['Drama', 'Thriller']",7.217,384,3.2104
2457,[Rec],[REC],A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.,21,2007-11-23,2007,Spanish,"['Horror', 'Mystery']",7.2,4687,9.7034
2458,Somebody To Love,FolleMente,"How much do we really know about ourselves when we make a decision? What if there are multiple versions of our I within us, each with something to say?",29,2025-02-20,2025,Italian,"['Comedy', 'Romance']",7.216,497,2.9834
2459,When Evil Lurks,Cuando acecha la maldad,"Residents of a small rural town discover that a demon is about to be born among them. They desperately try to escape before the evil is born, but it may be too late.",33,2023-10-05,2023,Spanish,"['Horror', 'Thriller']",7.216,1294,6.5428
2460,Heidi,Heidi,"Heidi, is an eight-year-old Swiss orphan who is given by her aunt to her mountain-dwelling grandfather. She is then stolen back by her aunt from her grandfather to live in the wealthy Sesemann household in Frankfurt, Germany as a companion to Klara, a sheltered, disabled girl in a wheelchair. Heidi is unhappy but makes the best of the situation, always longing for her grandfather.",64,2015-12-10,2015,German,"['Adventure', 'Family', 'Drama']",7.216,419,3.4917
2461,The Stranger,The Stranger,"An investigator from the War Crimes Commission travels to Connecticut to find an infamous Nazi, who may be hiding out in a small town in the guise of a distinguished professor engaged to the Supreme Court Justice’s daughter.",38,1946-07-02,1946,English,"['Thriller', 'Crime']",7.2,612,3.3217
2462,Roma,Roma,"A virtually plotless, gaudy, impressionistic portrait of Rome through the eyes of one of its most famous citizens.",18,1972-03-16,1972,Italian,"['Comedy', 'Drama']",7.2,345,2.7594
2463,Picnic At Hanging Rock,Picnic at Hanging Rock,"In the early 1900s, Miranda attends a girls boarding school in Australia. One Valentine's Day, the school's typically strict headmistress treats the girls to a picnic field trip to an unusual but scenic volcanic formation called Hanging Rock. Despite rules against it, Miranda and several other girls venture off. It's not until the end of the day that the faculty realizes the girls and one of the teachers have disappeared mysteriously.",71,1975-09-02,1975,English,"['Drama', 'Mystery']",7.216,847,3.3403
2464,Sherlock Holmes,Sherlock Holmes,Eccentric consulting detective Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.,25,2009-12-23,2009,English,"['Action', 'Adventure', 'Crime', 'Mystery']",7.216,14409,6.3866
2465,The Parent Trap,The Parent Trap,"Hallie Parker and Annie James are identical twins who were separated at a young age due to their parents' divorce. Unbeknownst to their parents, the girls are sent to the same summer camp, where they meet, discover the truth about their relationship, and come up with a plan to switch places in an effort to reunite their mother and father.",60,1998-07-28,1998,English,"['Comedy', 'Family', 'Romance']",7.216,4374,11.7701
2466,And Now For Something Completely Different,And Now for Something Completely Different,A collection of Monty Python's Flying Circus skits from the first two seasons of their British TV series.,18,1971-09-28,1971,English,['Comedy'],7.216,558,1.8248
2467,Donkey Skin,Peau d'âne,A fairy godmother helps a princess disguise herself so she won't have to marry her father.,16,1970-12-20,1970,French,"['Fantasy', 'Comedy', 'Music', 'Romance']",7.216,535,2.5588
2468,The Message,The Message,"In sixth-century Mecca, Prophet Muhammad receives his first revelation from God as a messenger. Three years later, he's not alone in his quest and publicly declares his prophecy. Muhammad is fought by Abu Sufian and his wife Hind, rulers of Mecca. Muhammad's followers are hunted and tortured but he continues his calling.",52,1976-03-09,1976,English,"['Adventure', 'Drama', 'Action', 'History']",7.215,376,2.5613
2469,Operation Petticoat,Operation Petticoat,"A World War II submarine commander finds himself stuck with a damaged sub, a con-man executive officer, and a group of army nurses.",23,1959-12-05,1959,English,"['Comedy', 'War', 'Romance']",7.215,393,2.7881
2470,A Christmas Story,A Christmas Story,"The comic mishaps and adventures of a young boy named Ralph, trying to convince his parents, teachers, and Santa that a Red Ryder B.B. gun really is the perfect Christmas gift for the 1940s.",34,1983-11-18,1983,English,"['Comedy', 'Family']",7.215,1329,2.0882
2471,The Boys In The Boat,The Boys in the Boat,"The triumphant underdog story of the University of Washington men's rowing team, who stunned the world by competing at the 1936 Berlin Olympics.",23,2023-12-25,2023,English,"['Drama', 'History']",7.214,315,4.258
2472,Wonder Woman,Wonder Woman,An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.,30,2017-05-30,2017,English,"['Action', 'Adventure', 'Fantasy']",7.214,20517,12.9649
2473,Jack And The Cuckoo-Clock Heart,Jack et la mécanique du cœur,"Jack is born with his heart frozen solid on the coldest day in history. A wise midwife saves him by replacing it with a cuckoo clock. Now Jack must abide by three rules to keep his mechanical heart safe: never touch the clock's hands, master his anger, and never fall in love. He tries his best, but when he meets a girl named Acacia he falls in love, threatening the delicate balance of his artificial heart.",76,2014-02-05,2014,French,"['Animation', 'Romance', 'Adventure', 'Drama', 'Fantasy']",7.214,740,2.5978
2474,Men In Black,Men in Black,"After a police chase with an otherworldly being, a New York City cop is recruited as an agent in a top-secret organization established to monitor and police alien activity on Earth: the Men in Black. Agent K and new recruit Agent J find themselves in the middle of a deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies.",67,1997-07-02,1997,English,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",7.214,14371,9.3322
2475,K-Pax,K-PAX,"Prot is a patient at a mental hospital who claims to be from a far away planet. His psychiatrist tries to help him, only to begin to doubt his own explanations.",31,2001-10-26,2001,English,"['Science Fiction', 'Drama', 'Mystery']",7.214,2585,4.6671
2476,Kiss Me Deadly,Kiss Me Deadly,"One evening, Hammer gives a ride to Christina, an attractive hitchhiker on a lonely country road, who has escaped from the nearby lunatic asylum. Thugs waylay them and force his car to crash. When Hammer returns to semi-consciousness, he hears Christina being tortured until she dies. Hammer, both for vengeance and in hopes that ""something big"" is behind it all, decides to pursue the case.",65,1955-04-28,1955,English,"['Mystery', 'Thriller', 'Crime']",7.2,394,1.9219
2477,The Princess And The Frog,The Princess and the Frog,"A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him.",38,2009-12-08,2009,English,"['Animation', 'Romance', 'Fantasy', 'Family']",7.213,5919,9.5004
2478,In The Mouth Of Madness,In the Mouth of Madness,An insurance investigator visits a small town while looking into the strange disappearance of a popular horror novelist. He soon finds that the impact of the author’s books is far more than inspirational.,33,1995-02-03,1995,English,"['Horror', 'Mystery']",7.213,1795,5.1164
2479,Joe: The Busybody,Jo,A writer accidentally shoots his blackmailer and tries to hide the body.,12,1971-08-31,1971,French,"['Comedy', 'Crime']",7.212,323,2.3647
2480,Big Trouble In Little China,Big Trouble in Little China,"Truck driver Jack Burton gets embroiled in a supernatural battle when his best friend Wang Chi's green-eyed fiancée is kidnapped by henchmen of the sorcerer Lo Pan, who must marry a girl with green eyes in order to return to the human realm.",43,1986-05-30,1986,English,"['Action', 'Comedy', 'Fantasy', 'Adventure']",7.212,3188,4.876
2481,Masculin Féminin,Masculin féminin,"Paul, a young idealist trying to figure out what he wants to do with his life, takes a job interviewing people for a marketing research firm. He moves in with aspiring pop singer Madeleine. Paul, however, is disillusioned by the growing commercialism in society, while Madeleine just wants to be successful. The story is told in a series of 15 unrelated vignettes.",62,1966-03-22,1966,French,"['Drama', 'Romance']",7.212,405,3.727
2482,Les Misérables,Les Misérables,"In 19th century France, Jean Valjean, a man imprisoned for stealing bread, must flee a relentless policeman named Javert. The pursuit consumes both men's lives, and soon Valjean finds himself in the midst of the student revolutions in France.",39,1998-05-01,1998,English,"['Crime', 'Drama', 'History', 'Romance']",7.212,660,3.5624
