,title,original_title,overview,overview_word_count,release_date,release_year,original_language,genres,vote_average,vote_count,popularity
152,Singin' In The Rain,Singin' in the Rain,"In 1927 Hollywood, a silent film star falls for a chorus girl just as he and his paranoid screen partner struggle to make the difficult transition to talking pictures.",29,1952-04-10,1952,English,"['Comedy', 'Romance']",8.1,3341,4.0519
153,Togo,Togo,"The untold true story set in the winter of 1925 that takes you across the treacherous terrain of the Alaskan tundra for an exhilarating and uplifting adventure that will test the strength, courage and determination of one man, Leonhard Seppala, and his lead sled dog, Togo.",46,2019-12-20,2019,English,"['Adventure', 'Family']",8.142,2142,5.8691
154,Capernaum,کفرناحوم,"After running away from his negligent parents, committing a violent crime and being sentenced to five years in jail, a hardened, streetwise 12-year-old Lebanese boy sues his parents in protest of the life they have given him.",37,2018-09-20,2018,Arabic,['Drama'],8.141,1863,5.2581
155,Palmer,Palmer,"After 12 years in prison, former high school football star Eddie Palmer returns home to put his life back together—and forms an unlikely bond with Sam, an outcast boy from a troubled home. But Eddie's past threatens to ruin his new life and family.",44,2021-01-28,2021,English,['Drama'],8.14,1816,6.8275
156,Persona,Persona,"A young nurse, Alma, is put in charge of Elisabeth Vogler: an actress who is seemingly healthy in all respects, but will not talk. As they spend time together, Alma speaks to Elisabeth constantly, never receiving any answer.",38,1966-10-18,1966,Swedish,['Drama'],8.1,2323,3.8467
157,Central Station,Central do Brasil,"An emotional journey of a former school teacher, who writes letters for illiterate people, and a young boy, whose mother has just died, as they search for the father he never knew.",32,1998-04-03,1998,Portuguese,['Drama'],8.139,997,2.1172
158,Better Days,少年的你,"A bullied teenage girl forms an unlikely friendship with a mysterious young man who protects her from her assailants, while she copes with the pressures of her final examinations.",29,2019-10-25,2019,Chinese,"['Drama', 'Crime', 'Romance']",8.135,516,4.4602
159,Terminator 2: Judgment Day,Terminator 2: Judgment Day,"Ten years after the events of the original, a reprogrammed T-800 is sent back in time to protect young John Connor from the shape-shifting T-1000. Together with his mother Sarah, he fights to stop Skynet from triggering a nuclear apocalypse.",40,1991-07-03,1991,English,"['Action', 'Thriller', 'Science Fiction']",8.134,13672,10.9039
160,Taxi Driver,Taxi Driver,"Suffering from insomnia, disturbed loner Travis Bickle takes a job as a New York City cabbie, haunting the streets nightly, growing increasingly detached from reality as he dreams of cleaning up the filthy city.",34,1976-02-09,1976,English,"['Crime', 'Drama']",8.133,12957,32.3265
161,Dune: Part Two,Dune: Part Two,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",55,2024-02-27,2024,English,"['Science Fiction', 'Adventure']",8.132,7171,14.1629
162,How To Make Millions Before Grandma Dies,หลานม่า,"M, a university dropout low on money and luck, volunteers to take care of his terminally ill grandmother, in the hope of pocketing an inheritance.",25,2024-04-04,2024,Thai,['Drama'],8.131,316,7.1105
163,Flow,Straume,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",28,2024-08-29,2024,Latvian,"['Animation', 'Adventure', 'Fantasy', 'Family']",8.131,2414,20.2914
164,Joker,Joker,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",29,2019-10-01,2019,English,"['Crime', 'Thriller', 'Drama']",8.131,26939,12.5461
165,Bound By Honor,Bound by Honor,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on half-brothers Paco and Cruz, and their bi-racial cousin Miklo. It opens in 1972, as the three are members of an East L.A. gang known as the ""Vatos Locos"", and the story focuses on how a violent crime and the influence of narcotics alter their lives. Miklo is incarcerated and sent to San Quentin, where he makes a ""home"" for himself. Cruz becomes an exceptional artist, but a heroin addiction overcomes him with tragic results. Paco becomes a cop and an enemy to his ""carnal"", Miklo.",100,1993-02-05,1993,English,"['Crime', 'Action', 'Drama', 'Thriller']",8.13,1458,12.0491
166,My Friends,Amici miei,Four inseparable friends try to face their midlife crisis with daytrips and pranks at the expense of their families and the people around them.,24,1975-10-24,1975,Italian,['Comedy'],8.1,724,1.6843
167,Black Clover: Sword Of The Wizard King,映画 ブラッククローバー 魔法帝の剣,"As a lionhearted boy who can't wield magic strives for the title of Wizard King, four banished Wizard Kings of yore return to crush the Clover Kingdom.",27,2023-06-16,2023,Japanese,"['Animation', 'Fantasy', 'Action', 'Adventure']",8.126,333,6.8442
168,Dr. Strangelove Or: How I Learned To Stop Worrying And Love The Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"After the insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union, a war room full of politicians, generals and a Russian diplomat all frantically try to stop it.",32,1964-01-29,1964,English,"['Comedy', 'War']",8.1,5928,3.9755
169,Full Metal Jacket,Full Metal Jacket,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,29,1987-06-26,1987,English,"['Drama', 'War']",8.123,11046,7.7465
170,8½,8½,"Guido Anselmi, a film director, finds himself creatively barren at the peak of his career. Urged by his doctors to rest, Anselmi heads for a luxurious resort, but a sorry group gathers—his producer, staff, actors, wife, mistress, and relatives—each one begging him to get on with the show. In retreat from their dependency, he fantasizes about past women and dreams of his childhood.",63,1963-02-14,1963,Italian,['Drama'],8.123,2435,6.0602
171,Jujutsu Kaisen 0,劇場版 呪術廻戦 0,"Yuta Okkotsu is a nervous high school student who is suffering from a serious problem—his childhood friend Rika has turned into a curse and won't leave him alone. Since Rika is no ordinary curse, his plight is noticed by Satoru Gojo, a teacher at Jujutsu High, a school where fledgling exorcists learn how to combat curses. Gojo convinces Yuta to enroll, but can he learn enough in time to confront the curse that haunts him?",75,2021-12-24,2021,Japanese,"['Animation', 'Action', 'Fantasy']",8.119,1574,41.0464
172,Reservoir Dogs,Reservoir Dogs,"A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.",44,1992-09-02,1992,English,"['Crime', 'Thriller']",8.118,14926,7.0254
173,Violet Evergarden: Eternity And The Auto Memory Doll,ヴァイオレット・エヴァーガーデン 外伝 - 永遠と自動手記人形 -,"Violet Evergarden comes to a private women's academy to tutor Isabella in the ways of being a lady. Heir to the York family, Isabella feels trapped in this new and uncomfortable world. She still grieves for the only person to ever bring her happiness – now lost to her. Violet's lessons do give her a brief respite from the melancholy but with the absence of joy, how long does it take to truly heal?",74,2019-09-06,2019,Japanese,"['Drama', 'Fantasy', 'Animation']",8.1,421,5.7692
174,"“The Shorts” By Aldo, Giovanni And Giacomo","“I Corti” di Aldo, Giovanni e Giacomo","I Corti (""Shorts"") by Aldo, Giovanni & Giacomo was the first stage show of the comedy trio, with the participation of Marina Massironi. It was recorded live at the Teatro Nuovo in Ferrara on 28 and 29 March 1996. Produced by Agidi, with the theatre direction of Arturo Brachetti.",49,1996-03-29,1996,Italian,['Comedy'],8.1,355,0.3762
175,Stalker,Сталкер,"Near a gray and unnamed city is the Zone, a place guarded by barbed wire and soldiers, and where the normal laws of physics are victim to frequent anomalies. A stalker guides two men into the Zone, specifically to an area in which deep-seated desires are granted.",47,1979-05-25,1979,Russian,"['Science Fiction', 'Drama']",8.1,2373,6.033
176,Green Snake,白蛇2：青蛇劫起,"While trying to free her sister from Fahai's clutches, Xiao Qing winds up in a dystopian city and meets a mysterious man who can't recall his past life.",28,2021-07-23,2021,Chinese,"['Animation', 'Fantasy', 'Action', 'Adventure']",8.1,343,4.4926
177,Wonder,Wonder,"The story of August Pullman – a boy with facial differences – who enters fifth grade, attending a mainstream elementary school for the first time.",25,2017-11-13,2017,English,"['Family', 'Drama']",8.112,8094,6.1774
178,Red Beard,赤ひげ,"Aspiring to an easy job as personal physician to a wealthy family, Noboru Yasumoto is disappointed when his first post after medical school takes him to a small country clinic under the gruff doctor Red Beard. Yasumoto rebels in numerous ways, but Red Beard proves a wise and patient teacher. He gradually introduces his student to the unglamorous side of the profession, ultimately assigning him to care for a prostitute rescued from a local brothel.",75,1965-04-03,1965,Japanese,['Drama'],8.1,386,5.2945
179,Portrait Of A Lady On Fire,Portrait de la jeune fille en feu,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",27,2019-09-18,2019,French,"['Drama', 'Romance', 'History']",8.109,2793,5.1861
180,There'S Still Tomorrow,C'è ancora domani,"In postwar Rome, a working-class woman dreams of a better future for herself and her daughter while facing abuse at the hands of her domineering husband. When a mysterious letter arrives, she discovers the courage to change the circumstances of her life.",42,2023-10-26,2023,Italian,"['Drama', 'Comedy', 'History']",8.105,1435,2.2816
181,Call Me By Your Name,Call Me by Your Name,"In the summer of 1983, a 17-year-old Elio spends his days in his family's villa in Italy. One day Oliver, a graduate student, arrives to assist Elio's father, a professor of Greco-Roman culture. Soon, Elio and Oliver discover a summer that will alter their lives forever.",46,2017-07-28,2017,English,"['Romance', 'Drama']",8.1,12477,6.9385
182,The Shop Around The Corner,The Shop Around the Corner,"Two employees at a gift shop can barely stand one another, without realising that they are falling in love through the post as each other's anonymous pen pal.",28,1940-01-12,1940,English,"['Comedy', 'Drama', 'Romance']",8.104,779,1.3963
183,Double Indemnity,Double Indemnity,A seductive housewife draws an insurance salesman into a plot of adultery and crime to collect on her husband's life insurance.,21,1944-07-06,1944,English,"['Crime', 'Thriller']",8.1,1923,4.7908
184,"Lock, Stock And Two Smoking Barrels","Lock, Stock and Two Smoking Barrels",A card shark and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.,45,1998-08-28,1998,English,"['Comedy', 'Crime']",8.104,6916,2.6859
185,Zack Snyder'S Justice League,Zack Snyder's Justice League,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",36,2021-03-18,2021,English,"['Action', 'Adventure', 'Fantasy']",8.103,10469,8.6012
186,Incendies,Incendies,"A mother's last wishes send twins Jeanne and Simon on a journey to Middle East in search of their tangled roots. Adapted from Wajdi Mouawad's acclaimed play, Incendies tells the powerful and moving tale of two young adults' voyage to the core of deep-rooted hatred, never-ending wars and enduring love.",50,2010-09-17,2010,French,"['Drama', 'War', 'Mystery']",8.103,3053,7.2758
187,Wall·E,WALL·E,"What if mankind had to leave Earth and somebody forgot to turn the last robot off? After hundreds of years doing what he was built for, WALL•E discovers a new purpose in life when he meets a sleek search robot named EVE. EVE comes to realize that WALL•E has inadvertently stumbled upon the key to the planet's future, and races back to space to report to the humans. Meanwhile, WALL•E chases EVE across the galaxy and sets into motion one of the most imaginative adventures ever brought to the big screen.",91,2008-06-22,2008,English,"['Animation', 'Family', 'Science Fiction']",8.103,19624,11.0811
188,The Father,The Father,"A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",39,2020-12-23,2020,English,['Drama'],8.102,3449,7.0936
189,Soul,Soul,"Joe Gardner is a middle school teacher with a love for jazz music. After a successful audition at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth.",85,2020-12-25,2020,English,"['Animation', 'Family', 'Comedy', 'Fantasy', 'Drama']",8.102,11002,10.5542
190,Prisoners,Prisoners,"Keller Dover is facing every parent’s worst nightmare. His six-year-old daughter, Anna, is missing, together with her young friend, Joy, and as minutes turn to hours, panic sets in. The only lead is a dilapidated RV that had earlier been parked on their street.",44,2013-09-19,2013,English,"['Drama', 'Thriller', 'Crime']",8.099,12538,10.8357
191,Wild Strawberries,Smultronstället,"Crotchety retired doctor Isak Borg travels from Stockholm to Lund, Sweden, with his pregnant and unhappy daughter-in-law, Marianne, in order to receive an honorary degree from his alma mater. Along the way, they encounter a series of hitchhikers, each of whom causes the elderly doctor to muse upon the pleasures and failures of his own life. These include the vivacious young Sara, a dead ringer for the doctor's own first love.",71,1957-08-28,1957,Swedish,['Drama'],8.1,1737,4.3256
192,Metropolis,Metropolis,"In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences.",32,1927-02-06,1927,German,"['Drama', 'Science Fiction']",8.099,2957,3.5343
193,Big Deal On Madonna Street,I soliti ignoti,"Best friends Peppe and Mario are thieves, but they're not very good at it. Still, Peppe thinks that he's finally devised a master heist that will make them rich. With the help of some fellow criminals, he plans to dig a tunnel from a rented apartment to the pawnshop next door, where they can rob the safe. But his plan is far from foolproof, and the fact that no one in the group has any experience digging tunnels proves to be the least of their problems.",86,1958-07-26,1958,Italian,"['Comedy', 'Crime']",8.096,748,1.4484
194,The Hunt,Jagten,"A teacher lives a lonely life, all the while struggling over his son’s custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",45,2012-06-13,2012,Danish,['Drama'],8.095,4515,6.5732
195,In The Mood For Love,花樣年華,"In 1962 Hong Kong, neighbors Su Li-zhen (Mrs. Chan) and Chow Mo-wan (Mr. Chow) discover their spouses are having an affair. As they spend time together, they develop feelings for each other, but their relationship remains chaste and unspoken, reflecting societal constraints and their own moral compass.",47,2000-09-29,2000,Chinese,"['Drama', 'Romance']",8.1,3064,9.4904
196,"Paris, Texas","Paris, Texas","A man wanders out of the desert not knowing who he is. His brother finds him, and helps to pull his memory back of the life he led before he walked out on his family and disappeared four years earlier.",40,1984-07-16,1984,English,['Drama'],8.094,2073,3.5215
197,"Miraculous World: New York, United Heroez","Miraculous World : New York, les héros unis","Marinette’s class is headed to New York, the city of superheroes, for French-American Friendship Week.",15,2020-09-25,2020,French,"['Animation', 'TV Movie', 'Fantasy', 'Action']",8.1,1120,3.9586
198,New Gods: Nezha Reborn,新神榜：哪吒重生,"While living as an ordinary deliveryman and motor racing fan, Nezha encounters old nemeses and must rediscover his powers to protect his loved ones.",24,2021-02-06,2021,Chinese,"['Animation', 'Fantasy', 'Action']",8.093,486,7.4107
199,Some Like It Hot,Some Like It Hot,Two musicians witness a mob hit and struggle to find a way out of the city. Their only opportunity comes in the form of joining an all-girl band as they prepare to leave on a tour. The two disguise themselves as women and struggle to keep their identities secret as they deal with the problems this brings.,57,1959-03-19,1959,English,"['Comedy', 'Romance', 'Crime']",8.092,3698,3.9566
200,Eternal Sunshine Of The Spotless Mind,Eternal Sunshine of the Spotless Mind,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",46,2004-03-19,2004,English,"['Science Fiction', 'Drama', 'Romance']",8.092,15783,13.8999
201,Mortal Kombat Legends: Scorpion'S Revenge,Mortal Kombat Legends: Scorpion's Revenge,"After the vicious slaughter of his family by stone-cold mercenary Sub-Zero, Hanzo Hasashi is exiled to the torturous Netherrealm. There, in exchange for his servitude to the sinister Quan Chi, he’s given a chance to avenge his family – and is resurrected as Scorpion, a lost soul bent on revenge. Back on Earthrealm, Lord Raiden gathers a team of elite warriors – Shaolin monk Liu Kang, Special Forces officer Sonya Blade and action star Johnny Cage – an unlikely band of heroes with one chance to save humanity. To do this, they must defeat Shang Tsung’s horde of Outworld gladiators and reign over the Mortal Kombat tournament.",107,2020-04-12,2020,English,"['Animation', 'Action', 'Fantasy']",8.091,1425,8.4371
202,The Hate U Give,The Hate U Give,"Raised in a poverty-stricken slum, a 16-year-old girl named Starr now attends a suburban prep school. After she witnesses a police officer shoot her unarmed best friend, she's torn between her two very different worlds as she tries to speak her truth.",42,2018-10-19,2018,English,"['Crime', 'Drama']",8.09,2181,3.0094
203,Yojimbo,用心棒,"A nameless ronin, or samurai with no master, enters a small village in feudal Japan where two rival businessmen are struggling for control of the local gambling trade. Taking the name Sanjuro Kuwabatake, the ronin convinces both silk merchant Tazaemon and sake merchant Tokuemon to hire him as a personal bodyguard, then artfully sets in motion a full-scale gang war between the two ambitious and unscrupulous men.",67,1961-04-25,1961,Japanese,"['Drama', 'Thriller']",8.1,1598,5.462
204,The Tale Of The Princess Kaguya,かぐや姫の物語,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthrals all who encounter her. But, ultimately, she must confront her fate.",41,2013-11-23,2013,Japanese,"['Animation', 'Drama', 'Fantasy']",8.087,1900,5.525
205,Doctor Who: The Time Of The Doctor,Doctor Who: The Time of the Doctor,"Orbiting a quiet backwater planet, the massed forces of the universe's deadliest species gather, drawn to a mysterious message that echoes out to the stars. And amongst them, the Doctor. Rescuing Clara from a family Christmas dinner, the Time Lord and his best friend must learn what this enigmatic signal means for his own fate and that of the universe.",60,2013-12-25,2013,English,"['Drama', 'Science Fiction', 'TV Movie']",8.086,301,1.3104
206,Das Boot,Das Boot,"A German submarine hunts allied ships during the Second World War, but it soon becomes the hunted. The crew tries to survive below the surface, while stretching both the boat and themselves to their limits.",35,1981-09-17,1981,German,"['Drama', 'History', 'War']",8.086,2371,3.2124
207,Sansho The Bailiff,山椒大夫,"In medieval Japan, a woman and her children journey to find the family's patriarch, who was exiled years earlier.",19,1954-03-31,1954,Japanese,['Drama'],8.1,405,4.37
208,The Invisible Guest,Contratiempo,"Barcelona, Spain. Adrián Doria, a young and successful businessman accused of murder, meets one night with Virginia Goodman, an expert interrogation lawyer, in order to devise a defense strategy.",29,2017-01-06,2017,Spanish,"['Drama', 'Mystery', 'Thriller']",8.084,4786,5.0544
209,Harry Potter And The Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",44,2011-07-12,2011,English,"['Fantasy', 'Adventure']",8.084,21391,15.5319
210,La Haine,La Haine,"After a chaotic night of rioting in a marginal suburb of Paris, three young friends, Vinz, Hubert and Saïd, wander around unoccupied waiting for news about the state of health of a mutual friend who has been seriously injured when confronting the police.",43,1995-05-31,1995,French,['Drama'],8.1,4327,5.6842
211,All About Eve,All About Eve,"From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.",71,1950-11-09,1950,English,['Drama'],8.1,1618,2.7388
212,The Great War,La grande guerra,"Italy, 1916. Oreste Jacovacci and Giovanni Busacca are called, as all the Italian youths, to serve the army in the WWI. They both try in every way to avoid serving the army.",32,1959-10-28,1959,Italian,"['Comedy', 'War', 'Drama']",8.1,362,2.9149
213,Far From The Tree,Far from the Tree,"On an idyllic beach in the Pacific Northwest, curiosity gets the better of a young raccoon whose frustrated parent attempts to keep them both safe.",25,2021-11-24,2021,English,"['Animation', 'Family']",8.076,383,2.3934
214,There Will Be Blood,There Will Be Blood,"Ruthless silver miner, turned oil prospector, Daniel Plainview, moves to oil-rich California. Using his son to project a trustworthy, family-man image, Plainview cons local landowners into selling him their valuable properties for a pittance. However, local preacher Eli Sunday suspects Plainview's motives and intentions, starting a slow-burning feud that threatens both their lives.",53,2007-12-26,2007,English,['Drama'],8.076,7061,6.5293
215,Children Of Paradise,Les Enfants du Paradis,"In a chaotic 19th-century Paris teeming with aristocrats, thieves, psychics, and courtesans, theater mime Baptiste is in love with the mysterious actress Garance. But Garance, in turn, is loved by three other men: pretentious actor Frederick, conniving thief Lacenaire, and Count Edouard of Montray.",44,1945-03-15,1945,French,"['Drama', 'Romance']",8.1,436,2.9874
216,My Neighbor Totoro,となりのトトロ,"Two sisters move to the country with their father in order to be closer to their hospitalized mother, and discover the surrounding trees are inhabited by Totoros, magical spirits of the forest. When the youngest runs away from home, the older sister seeks help from the spirits to find her.",50,1988-04-16,1988,Japanese,"['Fantasy', 'Animation', 'Family']",8.1,8448,10.3437
217,The Thing,The Thing,"A twelve-man team at a remote Antarctic research station discovers an alien buried in the snow for over 100,000 years. Soon unfrozen, the form-changing creature wreaks havoc, creates terror...And becomes one of them.",33,1982-06-25,1982,English,"['Horror', 'Mystery', 'Science Fiction']",8.1,7532,10.2419
218,M,M - Eine Stadt sucht einen Mörder,"In this classic German thriller, Hans Beckert, a serial killer who preys on children, becomes the focus of a massive Berlin police manhunt. Beckert's heinous crimes are so repellant and disruptive to city life that he is even targeted by others in the seedy underworld network. With both cops and criminals in pursuit, the murderer soon realizes that people are on his trail, sending him into a tense, panicked attempt to escape justice.",73,1931-05-11,1931,German,"['Drama', 'Thriller', 'Crime']",8.07,2346,2.204
219,To Live,活着,Married couple Fugui and Jiazhen endure tumultuous events in mid-20th century mainland China as their personal fortunes move from wealthy landownership to peasantry.,23,1994-05-18,1994,Chinese,"['Drama', 'Romance', 'War']",8.069,347,4.5256
220,The Best Of Youth,La meglio gioventù,"After a fateful encounter in the summer of 1966, the lifepaths of two brothers from a middle-class Roman family diverge, intersecting with some of the most significant events of postwar Italian history in the following decades.",36,2003-06-22,2003,Italian,"['Drama', 'History', 'Romance']",8.1,580,1.9395
221,2001: A Space Odyssey,2001: A Space Odyssey,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",29,1968-04-02,1968,English,"['Science Fiction', 'Mystery', 'Adventure']",8.1,12122,9.3807
222,Memoir Of A Snail,Memoir of a Snail,"Forcibly separated from her twin brother when they are orphaned, a melancholic misfit learns how to find confidence within herself amid the clutter of misfortunes and everyday life.",28,2024-10-17,2024,English,"['Animation', 'Drama', 'Comedy']",8.063,680,7.6163
223,"Three Billboards Outside Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri","After seven months have passed without a culprit in her daughter's murder case, Mildred Hayes makes a bold move, painting three signs leading into her town with a controversial message directed at Bill Willoughby, the town's revered chief of police. When his second-in-command Officer Jason Dixon, an immature mother's boy with a penchant for violence, gets involved, the battle between Mildred and Ebbing's law enforcement is only exacerbated.",68,2017-12-01,2017,English,"['Crime', 'Drama']",8.061,10539,4.0482
224,Prayers For Bobby,Prayers for Bobby,"Bobby Griffith was his mother's favorite son, the perfect all-American boy growing up under deeply religious influences in Walnut Creek, California. Bobby was also gay. Struggling with a conflict no one knew of, much less understood, Bobby finally came out to his family.",43,2009-01-24,2009,English,"['Drama', 'History', 'TV Movie']",8.06,605,3.2932
225,Purple Hearts,Purple Hearts,"An aspiring musician agrees to a marriage of convenience with a soon-to-deploy Marine, but a tragedy soon turns their fake relationship all too real.",24,2022-07-29,2022,English,"['Romance', 'Drama']",8.059,2769,5.3136
226,Elite Squad,Tropa de Elite,"In 1997, before the visit of the pope to Rio de Janeiro, Captain Nascimento from BOPE (Special Police Operations Battalion) is assigned to eliminate the risks of the drug dealers in a dangerous slum nearby where the pope intends to be lodged.",42,2007-10-12,2007,Portuguese,"['Drama', 'Action', 'Crime']",8.059,2580,11.6555
227,Pride & Prejudice,Pride & Prejudice,"A story of love and life among the landed English gentry during the Georgian era. Mr. Bennet is a gentleman living in Hertfordshire with his overbearing wife and five daughters, but if he dies their house will be inherited by a distant cousin whom they have never met, so the family's future happiness and security is dependent on the daughters making good marriages.",63,2005-09-16,2005,English,"['Drama', 'Romance']",8.1,8456,8.9691
228,Scenes From A Marriage,Scener ur ett äktenskap,"Johan and Marianne are married and seem to have it all. Their happiness, however, is a façade for a troubled relationship, which becomes even rockier when Johan admits that he's having an affair. Before long, the spouses separate and move towards finalizing their divorce, but they make attempts at reconciling. Even as they pursue other relationships, Johan and Marianne realize that they have a significant bond, but also many issues that hinder that connection.",74,1974-09-15,1974,Swedish,"['Drama', 'Romance']",8.1,385,1.4005
229,A Dog'S Journey,A Dog's Journey,A dog finds the meaning of his own existence through the lives of the humans he meets.,17,2019-05-03,2019,English,"['Family', 'Adventure', 'Drama']",8.1,1580,4.7475
230,La Dolce Vita,La dolce vita,"Episodic journey of journalist Marcello who struggles to find his place in the world, torn between the allure of Rome's elite social scene and the stifling domesticity offered by his girlfriend, all the while searching for a way to become a serious writer.",43,1960-02-05,1960,Italian,"['Comedy', 'Drama']",8.1,1968,3.001
231,Memories Of Murder,살인의 추억,"During the late 1980s, two detectives in a South Korean province attempt to solve series of gruesome rape-and-murder of young women.",21,2003-04-25,2003,Korean,"['Crime', 'Drama', 'Thriller']",8.054,4271,7.7746
232,Hidden Figures,Hidden Figures,"The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history – the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big.",56,2016-12-10,2016,English,"['Drama', 'History']",8.05,10148,27.9277
233,Sherlock Jr.,Sherlock Jr.,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",28,1924-04-17,1924,English,"['Action', 'Comedy', 'Mystery']",8.1,1095,3.6999
234,Konosuba – God'S Blessing On This Wonderful World! Legend Of Crimson,映画 この素晴らしい世界に祝福を！紅伝説,"It is not strange that the Demon Lord's forces fear the Crimson Demons, the clan from which Megumin and Yunyun originate. Even if the Demon Lord's generals attack their village, the Crimson Demons can just easily brush them off with their supreme mastery of advanced and overpowered magic. When Yunyun receives a seemingly serious letter regarding a potential disaster coming to her hometown, she immediately informs Kazuma Satou and the rest of his party. After a series of wacky misunderstandings, it turns out to be a mere prank by her fellow demon who wants to be an author. Even so, Megumin becomes worried about her family and sets out toward the Crimson Demons' village with the gang. There, Kazuma and the others decide to sightsee the wonders of Megumin's birthplace. However, they soon come to realize that the nonsense threat they received might have been more than just a joke.",150,2019-08-30,2019,Japanese,"['Animation', 'Adventure', 'Comedy', 'Fantasy']",8.049,586,5.2176
235,Along With The Gods: The Last 49 Days,신과함께-인과 연,"As the deceased soul Ja-hong and his three afterlife guardians prepare for their remaining trials for reincarnation, the guardians soon come face to face with the truth of their tragic time on Earth 1,000 years earlier.",36,2018-08-01,2018,Korean,"['Action', 'Adventure', 'Fantasy', 'Thriller']",8.048,712,6.4912
236,The Elephant Man,The Elephant Man,"A Victorian surgeon rescues a heavily disfigured man being mistreated by his ""owner"" as a side-show freak. Behind his monstrous façade, there is revealed a person of great intelligence and sensitivity. Based on the true story of Joseph Merrick (called John Merrick in the film), a severely deformed man in 19th century London.",53,1980-10-09,1980,English,"['Drama', 'History']",8.048,3755,4.0014
237,Ran,乱,Shakespeare's King Lear is reimagined as a singular historical epic set in sixteenth-century Japan where an aging warlord divides his kingdom between his three sons.,25,1985-06-01,1985,Japanese,"['Action', 'Drama', 'History']",8.0,1692,6.6719
238,Oppenheimer,Oppenheimer,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,18,2023-07-19,2023,English,"['Drama', 'History']",8.046,10906,19.6138
239,A Taxi Driver,택시운전사,"May, 1980. Man-seob is a taxi driver in Seoul who lives from hand to mouth, raising his young daughter alone. One day, he hears that there is a foreigner who will pay big money for a drive down to Gwangju city. Not knowing that he’s a German journalist with a hidden agenda, Man-seob takes the job.",56,2017-08-02,2017,Korean,"['Action', 'Drama', 'History']",8.0,1090,5.8143
240,Rashomon,羅生門,Four people recount different versions of the story of a man's murder and the rape of his wife.,18,1950-08-26,1950,Japanese,"['Crime', 'Drama', 'Mystery']",8.046,2402,6.006
